,month,interest,principal,loan balance,total_interest,monthly_payment
0,1.0,716.95,599.46,327750.0,716.95,1316.41
1,2.0,715.64,600.77,327150.54,1432.5900000000001,1316.41
2,3.0,714.33,602.08,326549.76999999996,2146.92,1316.41
3,4.0,713.01,603.4,325947.68999999994,2859.9300000000003,1316.41
4,5.0,711.69,604.72,325344.2899999999,3571.6200000000003,1316.41
5,6.0,710.37,606.04,324739.56999999995,4281.990000000001,1316.41
6,7.0,709.04,607.37,324133.52999999997,4991.030000000001,1316.41
7,8.0,707.71,608.7,323526.16,5698.740000000001,1316.41
8,9.0,706.38,610.03,322917.45999999996,6405.120000000001,1316.41
9,10.0,705.05,611.36,322307.42999999993,7110.170000000001,1316.41
10,11.0,703.71,612.7,321696.06999999995,7813.880000000001,1316.41
11,12.0,702.37,614.04,321083.36999999994,8516.250000000002,1316.41
12,13.0,701.03,615.38,320469.32999999996,9217.280000000002,1316.41
13,14.0,699.68,616.73,319853.94999999995,9916.960000000003,1316.41
14,15.0,698.33,618.08,319237.22,10615.290000000003,1316.41
15,16.0,696.98,619.43,318619.13999999996,11312.270000000002,1316.41
16,17.0,695.62,620.79,317999.70999999996,12007.890000000003,1316.41
17,18.0,694.27,622.14,317378.92,12702.160000000003,1316.41
18,19.0,692.91,623.5,316756.77999999997,13395.070000000003,1316.41
19,20.0,691.54,624.87,316133.27999999997,14086.610000000004,1316.41
20,21.0,690.17,626.24,315508.41,14776.780000000004,1316.41
21,22.0,688.8,627.61,314882.17,15465.580000000004,1316.41
22,23.0,687.43,628.98,314254.56,16153.010000000004,1316.41
23,24.0,686.06,630.35,313625.58,16839.070000000003,1316.41
24,25.0,684.68,631.73,312995.23000000004,17523.750000000004,1316.41
25,26.0,683.3,633.11,312363.50000000006,18207.050000000003,1316.41
26,27.0,681.91,634.5,311730.3900000001,18888.960000000003,1316.41
27,28.0,680.52,635.89,311095.8900000001,19569.480000000003,1316.41
28,29.0,679.13,637.28,310460.00000000006,20248.610000000004,1316.41
29,30.0,677.74,638.67,309822.72000000003,20926.350000000006,1316.41
30,31.0,676.34,640.07,309184.05000000005,21602.690000000006,1316.41
31,32.0,674.94,641.47,308543.98000000004,22277.630000000005,1316.41
32,33.0,673.54,642.87,307902.51000000007,22951.170000000006,1316.41
33,34.0,672.13,644.28,307259.6400000001,23623.300000000007,1316.41
34,35.0,670.72,645.69,306615.36000000004,24294.020000000008,1316.41
35,36.0,669.31,647.1,305969.67000000004,24963.33000000001,1316.41
36,37.0,667.89,648.52,305322.57000000007,25631.22000000001,1316.41
37,38.0,666.47,649.94,304674.05000000005,26297.69000000001,1316.41
38,39.0,665.05,651.36,304024.11000000004,26962.74000000001,1316.41
39,40.0,663.63,652.78,303372.75000000006,27626.37000000001,1316.41
40,41.0,662.2,654.21,302719.97000000003,28288.57000000001,1316.41
41,42.0,660.77,655.64,302065.76,28949.34000000001,1316.41
42,43.0,659.33,657.08,301410.12,29608.670000000013,1316.41
43,44.0,657.9,658.51,300753.04,30266.570000000014,1316.41
44,45.0,656.46,659.95,300094.52999999997,30923.030000000013,1316.41
45,46.0,655.01,661.4,299434.57999999996,31578.04000000001,1316.41
46,47.0,653.57,662.84,298773.17999999993,32231.61000000001,1316.41
47,48.0,652.12,664.29,298110.3399999999,32883.73000000001,1316.41
48,49.0,650.66,665.75,297446.04999999993,33534.390000000014,1316.41
49,50.0,649.21,667.2,296780.29999999993,34183.60000000001,1316.41
50,51.0,647.75,668.66,296113.0999999999,34831.35000000001,1316.41
51,52.0,646.28,670.13,295444.43999999994,35477.63000000001,1316.41
52,53.0,644.82,671.59,294774.30999999994,36122.45000000001,1316.41
53,54.0,643.35,673.06,294102.7199999999,36765.80000000001,1316.41
54,55.0,641.88,674.53,293429.6599999999,37407.68000000001,1316.41
55,56.0,640.4,676.01,292755.1299999999,38048.08000000001,1316.41
56,57.0,638.92,677.49,292079.1199999999,38687.00000000001,1316.41
57,58.0,637.44,678.97,291401.6299999999,39324.44000000001,1316.41
58,59.0,635.96,680.45,290722.6599999999,39960.40000000001,1316.41
59,60.0,634.47,681.94,290042.2099999999,40594.87000000001,1316.41
60,61.0,632.98,683.43,289360.2699999999,41227.85000000001,1316.41
61,62.0,631.48,684.93,288676.8399999999,41859.330000000016,1316.41
62,63.0,629.98,686.43,287991.9099999999,42489.31000000002,1316.41
63,64.0,628.48,687.93,287305.4799999999,43117.79000000002,1316.41
64,65.0,626.98,689.43,286617.54999999993,43744.770000000026,1316.41
65,66.0,625.47,690.94,285928.11999999994,44370.24000000003,1316.41
66,67.0,623.96,692.45,285237.17999999993,44994.200000000026,1316.41
67,68.0,622.44,693.97,284544.7299999999,45616.64000000003,1316.41
68,69.0,620.92,695.49,283850.75999999995,46237.56000000003,1316.41
69,70.0,619.4,697.01,283155.26999999996,46856.96000000003,1316.41
70,71.0,617.88,698.53,282458.25999999995,47474.840000000026,1316.41
71,72.0,616.35,700.06,281759.7299999999,48091.190000000024,1316.41
