,month,interest,principal,loan balance,total_interest,monthly_payment
0,1.0,76.88,475.62,36904.72,76.88,552.5
1,2.0,75.89,476.61,36429.1,152.76999999999998,552.5
2,3.0,74.9,477.6,35952.49,227.67,552.5
3,4.0,73.91,478.59,35474.89,301.58,552.5
4,5.0,72.91,479.59,34996.3,374.49,552.5
5,6.0,71.91,480.59,34516.71000000001,446.4,552.5
6,7.0,70.91,481.59,34036.12000000001,517.31,552.5
7,8.0,69.91,482.59,33554.53000000001,587.2199999999999,552.5
8,9.0,68.9,483.6,33071.94000000002,656.1199999999999,552.5
9,10.0,67.89,484.61,32588.34000000002,724.0099999999999,552.5
10,11.0,66.88,485.62,32103.730000000018,790.8899999999999,552.5
11,12.0,65.87,486.63,31618.11000000002,856.7599999999999,552.5
12,13.0,64.86,487.64,31131.480000000018,921.6199999999999,552.5
13,14.0,63.84,488.66,30643.84000000002,985.4599999999999,552.5
14,15.0,62.82,489.68,30155.18000000002,1048.28,552.5
15,16.0,61.8,490.7,29665.50000000002,1110.08,552.5
16,17.0,60.78,491.72,29174.800000000017,1170.86,552.5
17,18.0,59.76,492.74,28683.080000000016,1230.62,552.5
18,19.0,58.73,493.77,28190.340000000015,1289.35,552.5
19,20.0,57.7,494.8,27696.570000000014,1347.05,552.5
20,21.0,56.67,495.83,27201.770000000015,1403.72,552.5
21,22.0,55.64,496.86,26705.940000000013,1459.3600000000001,552.5
22,23.0,54.6,497.9,26209.080000000013,1513.96,552.5
23,24.0,53.56,498.94,25711.18000000001,1567.52,552.5
24,25.0,52.53,499.97,25212.240000000013,1620.05,552.5
25,26.0,51.48,501.02,24712.27000000001,1671.53,552.5
26,27.0,50.44,502.06,24211.25000000001,1721.97,552.5
27,28.0,49.39,503.11,23709.19000000001,1771.3600000000001,552.5
28,29.0,48.35,504.15,23206.08000000001,1819.71,552.5
29,30.0,47.3,505.2,22701.930000000008,1867.01,552.5
30,31.0,46.24,506.26,22196.730000000007,1913.25,552.5
31,32.0,45.19,507.31,21690.47000000001,1958.44,552.5
32,33.0,44.13,508.37,21183.160000000007,2002.5700000000002,552.5
33,34.0,43.07,509.43,20674.790000000008,2045.64,552.5
34,35.0,42.01,510.49,20165.360000000008,2087.65,552.5
35,36.0,40.95,511.55,19654.870000000006,2128.6,552.5
36,37.0,39.88,512.62,19143.320000000007,2168.48,552.5
37,38.0,38.81,513.69,18630.700000000008,2207.29,552.5
38,39.0,37.74,514.76,18117.01000000001,2245.0299999999997,552.5
39,40.0,36.67,515.83,17602.25000000001,2281.7,552.5
40,41.0,35.6,516.9,17086.42000000001,2317.2999999999997,552.5
41,42.0,34.52,517.98,16569.520000000008,2351.8199999999997,552.5
42,43.0,33.44,519.06,16051.540000000008,2385.2599999999998,552.5
43,44.0,32.36,520.14,15532.480000000009,2417.62,552.5
44,45.0,31.28,521.22,15012.34000000001,2448.9,552.5
45,46.0,30.19,522.31,14491.12000000001,2479.09,552.5
46,47.0,29.1,523.4,13968.81000000001,2508.19,552.5
47,48.0,28.01,524.49,13445.41000000001,2536.2000000000003,552.5
48,49.0,26.92,525.58,12920.920000000011,2563.1200000000003,552.5
49,50.0,25.82,526.68,12395.340000000011,2588.9400000000005,552.5
50,51.0,24.73,527.77,11868.66000000001,2613.6700000000005,552.5
51,52.0,23.63,528.87,11340.89000000001,2637.3000000000006,552.5
52,53.0,22.53,529.97,10812.02000000001,2659.830000000001,552.5
53,54.0,21.42,531.08,10282.05000000001,2681.250000000001,552.5
54,55.0,20.31,532.19,9750.97000000001,2701.560000000001,552.5
55,56.0,19.21,533.29,9218.78000000001,2720.770000000001,552.5
56,57.0,18.09,534.41,8685.490000000009,2738.860000000001,552.5
57,58.0,16.98,535.52,8151.080000000009,2755.840000000001,552.5
58,59.0,15.87,536.63,7615.560000000009,2771.710000000001,552.5
59,60.0,14.75,537.75,7078.9300000000085,2786.460000000001,552.5
60,61.0,13.63,538.87,6541.1800000000085,2800.090000000001,552.5
61,62.0,12.5,540.0,6002.310000000009,2812.590000000001,552.5
62,63.0,11.38,541.12,5462.310000000009,2823.970000000001,552.5
63,64.0,10.25,542.25,4921.190000000009,2834.220000000001,552.5
64,65.0,9.12,543.38,4378.940000000009,2843.340000000001,552.5
65,66.0,7.99,544.51,3835.5600000000086,2851.330000000001,552.5
66,67.0,6.86,545.64,3291.0500000000084,2858.190000000001,552.5
67,68.0,5.72,546.78,2745.4100000000085,2863.9100000000008,552.5
68,69.0,4.58,547.92,2198.6300000000083,2868.4900000000007,552.5
69,70.0,3.44,549.06,1650.7100000000082,2871.9300000000007,552.5
70,71.0,2.3,550.2,1101.6500000000083,2874.230000000001,552.5
71,72.0,1.15,551.35,551.4500000000082,2875.380000000001,552.5
