,month,interest,principal,loan balance,total_interest,monthly_payment
0,1.0,1032.92,368.26,185000.0,1032.92,1401.18
1,2.0,963.86,437.32,172631.74,1996.7800000000002,1401.18
2,3.0,950.25,450.93,170194.41999999998,2947.03,1401.18
3,4.0,936.57,464.61,167743.49,3883.6000000000004,1401.18
4,5.0,922.81,478.37,165278.88,4806.41,1401.18
5,6.0,908.97,492.21,162800.51,5715.38,1401.18
6,7.0,895.05,506.13,160308.30000000002,6610.43,1401.18
7,8.0,881.06,520.12,157802.17,7491.49,1401.18
8,9.0,866.99,534.19,155282.05000000002,8358.48,1401.18
9,10.0,852.84,548.34,152747.86000000002,9211.32,1401.18
10,11.0,838.61,562.57,150199.52000000002,10049.93,1401.18
11,12.0,824.31,576.87,147636.95,10874.24,1401.18
12,13.0,809.92,591.26,145060.08000000002,11684.16,1401.18
13,14.0,795.45,605.73,142468.82,12479.61,1401.18
14,15.0,780.9,620.28,139863.09,13260.51,1401.18
15,16.0,766.27,634.91,137242.81,14026.78,1401.18
16,17.0,751.56,649.62,134607.9,14778.34,1401.18
17,18.0,736.77,664.41,131958.28,15515.11,1401.18
18,19.0,721.89,679.29,129293.87,16237.0,1401.18
19,20.0,706.93,694.25,126614.58,16943.93,1401.18
20,21.0,691.89,709.29,123920.33,17635.82,1401.18
21,22.0,676.76,724.42,121211.04000000001,18312.579999999998,1401.18
22,23.0,661.55,739.63,118486.62000000001,18974.129999999997,1401.18
23,24.0,646.25,754.93,115746.99,19620.379999999997,1401.18
24,25.0,630.87,770.31,112992.06000000001,20251.249999999996,1401.18
25,26.0,615.4,785.78,110221.75000000001,20866.649999999998,1401.18
26,27.0,599.85,801.33,107435.97000000002,21466.499999999996,1401.18
27,28.0,584.21,816.97,104634.64000000001,22050.709999999995,1401.18
28,29.0,568.48,832.7,101817.67000000001,22619.189999999995,1401.18
29,30.0,552.67,848.51,98984.97000000002,23171.859999999993,1401.18
30,31.0,536.76,864.42,96136.46000000002,23708.61999999999,1401.18
31,32.0,520.77,880.41,93272.04000000002,24229.389999999992,1401.18
32,33.0,504.69,896.49,90391.63000000002,24734.07999999999,1401.18
33,34.0,488.51,912.67,87495.14000000001,25222.58999999999,1401.18
34,35.0,472.25,928.93,84582.47000000002,25694.83999999999,1401.18
35,36.0,455.9,945.28,81653.54000000002,26150.73999999999,1401.18
36,37.0,439.45,961.73,78708.26000000002,26590.18999999999,1401.18
37,38.0,422.92,978.26,75746.53000000003,27013.10999999999,1401.18
38,39.0,406.29,994.89,72768.27000000003,27419.39999999999,1401.18
39,40.0,389.57,1011.61,69773.38000000003,27808.96999999999,1401.18
